FID,ACCIDENT_N,ACCIDENTDA,ACCIDENTTI,ACCIDENT_T,Accident_T_1,DAY_OF_WEE,Day_Week_D,DCA_CODE,DCA_Descri,DIRECTORY,EDITION,PAGE,GRID_REFER,GRID_REF_1,LIGHT_COND,Light_Cond_1,NODE_ID,NO_OF_VEHI,NO_PERSONS,NO_PERSO_1,NO_PERSO_2,NO_PERSO_3,NO_PERSO_4,POLICE_ATT,ROAD_GEOME,Road_Geome_1,SEVERITY,SPEED_ZONE,Lat,Long
0,T20130000003,1/01/2013,00.25.00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),VCS,9,3,D,6,5,Dark No street lights,257240,2,4,4,0,0,0,1,5,Not at intersection,2,90,-34.27742,142.186280000000010
1,T20130000007,1/01/2013,05.30.00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,2S,C,7,2,Dusk/Dawn,38741,1,2,1,0,0,1,1,1,Cross intersection,2,70,-37.79892,144.892360000000000
2,T20130000013,1/01/2013,11.11.00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),VCS,9,604,C,3,1,Day,257284,1,1,1,0,0,0,2,5,Not at intersection,2,999,-36.69281,144.306490000000000
3,T20130000021,1/01/2013,01.05.00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,79,K,12,3,Dark Street lights on,257241,1,4,1,1,0,2,1,5,Not at intersection,2,60,-37.96228,145.151270000000010
4,T20130000030,1/01/2013,13.55.00,1,Collision with vehicle,3,Tuesday,153,CUTTING IN (OVERTAKING),MEL,40,2N,J,7,1,Day,267800,2,3,0,1,0,2,1,5,Not at intersection,3,40,-37.86435,144.971630000000000
5,T20130000032,1/01/2013,00.02.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,62,F,5,3,Dark Street lights on,259207,1,1,1,0,0,0,1,3,Y intersection,2,60,-37.21101,145.874660000000010
6,T20130000035,1/01/2013,15.20.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,84,C,8,1,Day,267801,1,2,0,1,0,1,1,5,Not at intersection,3,100,-37.91035,147.665349999999990
7,T20130000042,1/01/2013,15.51.00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,64,K,9,1,Day,41008,3,2,1,1,0,0,1,2,T intersection,2,60,-37.86245,145.283739999999990
8,T20130000043,1/01/2013,15.00.00,1,Collision with vehicle,3,Tuesday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,MEL,40,25,K,1,1,Day,257613,2,5,1,0,0,4,1,5,Not at intersection,2,60,-37.74362,144.798610000000000
9,T20130000050,1/01/2013,19.05.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,16,G,4,1,Day,257238,2,4,1,2,0,1,1,5,Not at intersection,2,60,-37.71062,144.916890000000000
10,T20130000051,1/01/2013,16.10.00,4,Collision with a fixed object,3,Tuesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,100,E,5,1,Day,267802,1,3,1,1,0,1,1,5,Not at intersection,2,100,-38.6999,143.228060000000000
11,T20130000061,2/01/2013,00.55.00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,23,B,8,5,Dark No street lights,257243,1,1,1,0,0,0,1,5,Not at intersection,2,100,-35.90496,145.612249999999990
12,T20130000062,2/01/2013,01.10.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL,VCS,9,44,F,8,5,Dark No street lights,257244,1,1,0,1,0,0,1,5,Not at intersection,3,100,-36.8848,144.313189999999990
